original_market,season,snap_accepting_fm,original_lon,original_lat,original_code,original_fmid,original_pmid,original_produce,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,county,county_code,state,state_code,country,country_code,attribution,attribution_license,TotalVendors,Produce,Food,Ethnic,Soul,Specialty,Service,Plantsgarden,ArtCraft,Pets,Foodtrucks,others
Bartlett Station Farmers Market,May-September,Yes,-89.869392,35.199142,1012,1012,,,48.35833,"2687 Bartlett Bl, Bartlett, TN 38134, United States of America",35.198853,-89.868996,,2687,Bartlett Bl,38134,,Appling,Bartlett,Shelby County,SY,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,45,10,17,2,,1,3,,11,1,,
Bell Buckle Farmers Market,June-September,,-86.354774,35.589733,1013,1013,,,20.318117,"Bellbuckle Cafe, 16 Alley Street, Bell Buckle, TN 37020, United States of America",35.589794,-86.354988,Bellbuckle Cafe,16,Alley Street,37020,,,Bell Buckle,Bedford County,BD,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Bellevue Farmers Market,May-October,,-86.93354,36.072426,1014,1014,,,14.944942,"656 Colice Jeanne Road, Nashville, TN 37221, United States of America",36.072445,-86.933701,,656,Colice Jeanne Road,37221,,Walnut Hill,Nashville,Davidson County,DA,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,44,17,16,7,,,,2,,,,
Bernard Farms,Year-round,,-86.707581,36.607014,2002,,2002,1,25.250044,"7510 Clay Gregory Road, Orlinda, TN 37141, United States of America",36.6068,-86.707672,,7510,Clay Gregory Road,37141,,,Orlinda,Robertson County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Black Farmers Market,June-September,,-90.04586,35.115433,1015,1015,,,0,"Pilgrim Rest Baptist Church, 491 East McLemore Avenue, Memphis, TN 38106, United States of America",35.115524,-90.0457,Pilgrim Rest Baptist Church,491,East McLemore Avenue,38106,,,Memphis,Shelby County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Black Murfreesboro Farmers Market,May-October,,-86.396172,35.843849,1016,1016,,,34.700359,"312 South Front Street, Murfreesboro, TN 37129, United States of America",35.843899,-86.396545,,312,South Front Street,37129,,,Murfreesboro,Rutherford County,RU,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Blountville Farmers Market,April to Octobe,,-82.320137,36.534061,1017,1017,,,8.9740944,"3258 Highway 126, Blountville, TN 37617, United States of America",36.534138,-82.320175,,3258,Highway 126,37617,,,Blountville,Sullivan County,SL,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Bolivar Farmers Market,May-October,,-88.987984,35.255642,1018,1018,,,1.2621717,"174 South Main Street, Bolivar, TN 38008, United States of America",35.255642,-88.987968,,174,South Main Street,38008,,,Bolivar,Hardeman County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Bradley County Farmers Market,June-October,,-84.871567,35.192303,1019,1019,,,.73481268,"3120 Peerless Road NW, Cleveland, TN 37312, United States of America",35.192307,-84.871574,,3120,Peerless Road NW,37312,,,Cleveland,Bradley County,BR,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Brainerd Farmers Market,April-December,,-85.239456,35.017838,1020,1020,,,0,"Grace Episcopal Church, 20 Belvoir Avenue, Chattanooga, TN 37411, United States of America",35.017792,-85.239449,Grace Episcopal Church,20,Belvoir Avenue,37411,,,Chattanooga,Hamilton County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Brownsville Farmers Market,Year-round,,-89.25148,35.590057,1021,1021,,,10.220115,"317 Anderson Avenue, Brownsville, TN 38012, United States of America",35.59008,-89.251366,,317,Anderson Avenue,38012,,,Brownsville,Haywood County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Buffalo Trail Orchard,June-October,,-82.885681,36.025768,2003,,2003,1,77.518135,"1835 Dodd Branch Road, Greeneville, TN 37743, United States of America",36.025612,-82.884842,,1835,Dodd Branch Road,37743,,,Greeneville,Greene County,GE,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Campbell County Farmers Market,May-October,,-84.170883,36.340862,1022,1022,,,21.75053,"Tractor Supply Company, 2520 Jacksboro Pike, Jacksboro, TN 37757, United States of America",36.341175,-84.170525,Tractor Supply Company,2520,Jacksboro Pike,37757,,,Jacksboro,Campbell County,CM,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Cannon County Farmers Market,May-August,,-86.06192,35.827778,1023,1023,,,12.844635,"400 Mcminnville Highway, Woodbury, TN 37190, United States of America",35.827705,-86.061806,,400,Mcminnville Highway,37190,,,Woodbury,Cannon County,CN,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Carver's Orchard,,,-83.228668,35.836403,2004,,2004,1,42.634388,"168 Orchard Road, Cosby, TN 37722, United States of America",35.836086,-83.228935,,168,Orchard Road,37722,,,Cosby,Cocke County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Cedar Hill Farmers Market,April-September,,-87.001167,36.546326,1024,1024,,,3.7480438,"290 South Main Street, Cedar Hill, TN 37032, United States of America",36.546303,-87.001205,,290,South Main Street,37032,,,Cedar Hill,Robertson County,RB,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Centerville Farmers Market,May-September,,-87.462357,35.784035,1025,1025,,,26.688908,"301 Highway 100, Centerville, TN 37033, United States of America",35.784206,-87.462563,,301,Highway 100,37033,,,Centerville,Hickman County,HN,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Chattanooga Market,April-December,Yes,-85.317192,35.036198,1026,1026,,,7.4540009,"1823 Reggie White Boulevard, Chattanooga, TN 37402, United States of America",35.036263,-85.317192,,1823,Reggie White Boulevard,37402,,,Chattanooga,Hamilton County,HL,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Chelsea Avenue Farmers Market,April-October,,-89.98365,35.174797,1027,1027,,,3.1608617,"2204 Chelsea Avenue, Memphis, TN 38108, United States of America",35.17477,-89.983658,,2204,Chelsea Avenue,38108,,Hollywood,Memphis,Shelby County,SY,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Chestnut Grove Farmers Market,Year-round,,-85.668114,36.640209,1028,1028,,,1.7773815,"646 Hestand-Chestnut Grv Road, Hestand, KY 42167, United States of America",36.640198,-85.668098,,646,Hestand-Chestnut Grv Road,42167,,,Hestand,Monroe County,,Kentucky,KY,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Circle Farmers Market,May-October,,-83.780556,36.067169,1029,1029,,,60.895741,"8541 Rutledge Pike, Mascot, TN 37806, United States of America",36.067467,-83.779984,,8541,Rutledge Pike,37806,,,Mascot,Knox County,KN,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Clarksville Farmers Market,May-November,,-87.361603,36.527122,1030,1030,,,0,"Department of Parks and Recreation, 102 Public Square, Clarksville, TN 37040, United States of America",36.527187,-87.361626,Department of Parks and Recreation,102,Public Square,37040,,Riverside Drive,Clarksville,Montgomery County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Clinton Farmers Market,April-October,,-84.132202,36.102081,1031,1031,,,0,"Regions, 245 North Main Street, Clinton, TN 37716, United States of America",36.102215,-84.132225,Regions,245,North Main Street,37716,,,Clinton,Anderson County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Coach's Corner Farmers Market,May-October,,-87.552124,35.555794,1032,1032,,,4.4761071,"108 Forrest Avenue, Hohenwald, TN 38462, United States of America",35.555759,-87.552147,,108,Forrest Avenue,38462,,,Hohenwald,Lewis County,LE,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Coffee County Farmers Market,March-October,Yes,-86.08535,35.483212,1033,1033,,,13.041924,"274 East Fort Street, Manchester, TN 37355, United States of America",35.48333,-86.08535,,274,East Fort Street,37355,,,Manchester,Coffee County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Collierville Farmers Market,May-September,,-89.67627,35.046223,1034,1034,,,31.493328,"456 West Poplar Avenue, Collierville, TN 38017, United States of America",35.04594,-89.676315,,456,West Poplar Avenue,38017,,,Collierville,Shelby County,SY,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,84,21,22,8,2,8,2,4,11,1,2,2
Columbia Farmers Market,Year-round,,-87.029984,35.618534,1035,1035,,,21.012062,"104 Riverside Drive, Columbia, TN 38401, United States of America",35.618698,-87.029869,,104,Riverside Drive,38401,,,Columbia,Maury County,MU,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,97,58,9,10,2,10,,3,5,,,
Coning Family Farmers Market,May-August,,-83.998627,35.665985,1036,1036,,,14.519574,"2724 Taylor Road, Maryville, TN 37803, United States of America",35.665878,-83.998718,,2724,Taylor Road,37803,,,Maryville,Blount County,BO,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Cookeville Farmers Market,February-November,,-85.505096,36.166618,1037,1037,,,1.3204944,"201 Mahler Avenue, Cookeville, TN 38501, United States of America",36.166615,-85.505081,,201,Mahler Avenue,38501,,,Cookeville,Putnam County,PU,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Cookeville Green Market,March-October,,-85.523605,36.145386,1038,1038,,,3.4219615,"310 Newman Drive, Cookeville, TN 38501, United States of America",36.14539,-85.523643,,310,Newman Drive,38501,,,Cookeville,Putnam County,PU,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Cooper-Young Farmers Market,November-March,,-89.990822,35.118256,1039,1039,,,18.681946,"Pilgrim House Hotel, 1000 South Cooper Street, Memphis, TN 38104, United States of America",35.118401,-89.990921,Pilgrim House Hotel,1000,South Cooper Street,38104,,Cooper-Young,Memphis,Shelby County,SY,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,53,17,10,4,,2,,,19,,1,
Cordova International Farmers Market,Year-round,,-89.79306,35.157196,1040,1040,,,6.1201258,"1150 North Germantown Parkway, Memphis, TN 38016, United States of America",35.157234,-89.793106,,1150,North Germantown Parkway,38016,,Cordova,Memphis,Shelby County,SY,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Covington Farmers Market,May-September,,-89.640312,35.563702,1041,1041,,,.66813868,"100 Union Street, Covington, TN 38019, United States of America",35.563698,-89.640305,,100,Union Street,38019,,,Covington,Tipton County,TI,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Crockett Farmers Market,Year-round,,-89.208473,35.8134,1042,1042,,,129.80336,"3934 Highway 88, Alamo, TN 38001, United States of America",35.812241,-89.208344,,3934,Highway 88,38001,,,Alamo,Crockett County,CK,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Dandridge Farmers Market,April-October,,-83.416145,36.015366,1043,1043,,,2.8633208,"214 West Main Street, Dandridge, TN 37725, United States of America",36.015343,-83.416138,,214,West Main Street,37725,,,Dandridge,Jefferson County,JE,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Davidson Farmers CO-OP,Year-round,,-86.75634,36.250198,2005,,2005,1,12.556089,"3511 Dickerson Pike, Nashville, TN 37207, United States of America",36.250313,-86.75634,,3511,Dickerson Pike,37207,,Montague,Nashville,Davidson County,DA,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Decatur County Farmers Market,June-October,,-88.118591,35.587833,1044,1044,,,1.3308489,"270 North Pleasant Street, Decaturville, TN 38329, United States of America",35.587845,-88.118591,,270,North Pleasant Street,38329,,,Decaturville,Decatur County,DC,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Depot Street Farmers Market,May-October,Yes,-82.828636,36.162388,1045,1045,,,0,"The Greene County Partnership/Chamber of Commerce, 115 Academy Street, Greeneville, TN 37743, United States of America",36.162395,-82.828636,The Greene County Partnership/Chamber of Commerce,115,Academy Street,37743,,Greeneville Central Business District,Greeneville,Greene County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Dickson County Farmers Market,February-December,,-87.385345,36.077854,1046,1046,,,10.666005,"222 Church Street, Dickson, TN 37055, United States of America",36.077759,-87.385315,,222,Church Street,37055,,,Dickson,Dickson County,DI,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,21,11,3,,,,,,5,,,2
Dixie Lee Farmers Market,April-November,,-84.208733,35.866192,1047,1047,,,.58174038,"12740 Kingston Pike, Knoxville, TN 37934, United States of America",35.866196,-84.208733,,12740,Kingston Pike,37934,,,Knoxville,Knox County,KN,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,61,17,6,,,7,,,27,3,,1
Dotson's Produce and Greenhouse,Year-round,,-86.095558,35.198902,2006,,2006,1,1.3081623,"1510 Dinah Shore Boulevard, Winchester, TN 37398, United States of America",35.198895,-86.095551,,1510,Dinah Shore Boulevard,37398,,,Winchester,Franklin County,FR,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Downtown Friendship Farmers Market,April-October,Yes,-89.246536,35.908726,1048,1048,,,7.8884454,"631 Main Street, Friendship, TN 38034, United States of America",35.908756,-89.246613,,631,Main Street,38034,,,Friendship,Crockett County,CK,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Dresden Farmers Market,May-October,,-88.705482,36.285603,1049,1049,,,28.929255,"421 Linden Street, Dresden, TN 38225, United States of America",36.285461,-88.705757,,421,Linden Street,38225,,,Dresden,Weakley County,WE,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Dyer Farmers Market,June-October,,-88.990562,36.075291,1050,1050,,,2.101655,"296 Freemont Street, Dyer, TN 38330, United States of America",36.075275,-88.990555,,296,Freemont Street,38330,,,Dyer,Gibson County,GB,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,43,9,8,,,1,3,2,20,,,
East Nashville Farmers Market,April-December,Yes,-86.764557,36.172237,1051,1051,,,34.274105,"513 Woodland Street, Nashville, TN 37206, United States of America",36.172382,-86.764221,,513,Woodland Street,37206,,East Nashville,Nashville,Davidson County,DA,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
East Side Market,Year-round,,-83.265999,36.220631,1052,1052,,,1.3227104,"2240 East Morris Boulevard, Morristown, TN 37813, United States of America",36.220627,-83.266014,,2240,East Morris Boulevard,37813,,,Morristown,Hamblen County,HB,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Eastside Sunday Market,June-September,Yes,-83.900276,35.976109,1053,1053,,,91.128792,"2198 Martin Luther King Jr Avenue, Knoxville, TN 37915, United States of America",35.976788,-83.900841,,2198,Martin Luther King Jr Avenue,37915,,,Knoxville,Knox County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Ebenezer Road Farmers Market,April-November,,-84.07061,35.893093,1054,1054,,,0,"Ebenezer United Methodist Church, 1001 Ebenezer Road, Knoxville, TN 37923, United States of America",35.8932,-84.07061,Ebenezer United Methodist Church,1001,Ebenezer Road,37923,,,Knoxville,Knox County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,97,53,12,1,,8,23,,,,,
Elizabethton Farmers Market,June-September,,-82.243561,36.341309,1055,1055,,,54.184307,"1208 West G Street, Elizabethton, TN 37643, United States of America",36.341614,-82.244034,,1208,West G Street,37643,,,Elizabethton,Carter County,CT,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Englewood Farmers Market,March-December,,-84.516762,35.459984,1056,1056,,,76.086189,"427 County Rd 422, Athens, TN 37303, United States of America",35.460491,-84.517326,,427,County Rd 422,37303,,,Athens,McMinn County,MM,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Erwin Farmers Market,June-August,,-82.415977,36.145386,1057,1057,,,.65783942,"Unicoi County Jail, 102 N Main Avenue, Erwin, TN 37650, United States of America",36.145386,-82.41597,Unicoi County Jail,102,N Main Avenue,37650,,,Erwin,Unicoi County,UC,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Factory Farmers Market,January-December,Yes,-86.858025,35.93185,1058,1058,,,47.61261,"230 Franklin Road, Franklin, TN 37064, United States of America",35.931892,-86.858551,,230,Franklin Road,37064,,,Franklin,Williamson County,WL,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,38,,5,9,1,,,,15,,,8
Fairfield Glade Farmers Market,May-October,,-84.88678,36.007275,1059,1059,,,58.458645,"12 Wilshire Heights Drive, Fairfield Glade, TN 38558, United States of America",36.00779,-84.886642,,12,Wilshire Heights Drive,38558,,,Fairfield Glade,Cumberland County,CU,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Fairview Farmers Market,Year-round,,-87.127617,35.973919,1060,1060,,,30.16733,"2199 Fairview Boulevard, Fairview, TN 37062, United States of America",35.974133,-87.127823,,2199,Fairview Boulevard,37062,,,Fairview,Williamson County,WL,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Farm Fresh Produce,Year-round,,-83.979698,35.946907,1061,1061,,,2.3513799,"3617 Sutherland Avenue, Knoxville, TN 37919, United States of America",35.946922,-83.979706,,3617,Sutherland Avenue,37919,,,Knoxville,Knox County,KN,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Farm Market Trenton,June-September,,-88.940094,35.981426,1062,1062,,,9.7376919,"232 East Huntingdon Street, Trenton, TN 38382, United States of America",35.981514,-88.940102,,232,East Huntingdon Street,38382,,,Trenton,Gibson County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Farm Park Farmers Market,June-August,Yes,-89.805412,35.081184,1063,1063,,,67.93029,"7725 Poplar Pi, Germantown, TN 38138, United States of America",35.081787,-89.805283,,7725,Poplar Pi,38138,,Balmoral,Germantown,Shelby County,SY,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,66,24,17,9,1,5,0,1,2,1,6,
Farmers Market Pavillion,June-September,,-86.443542,35.489582,1064,1064,,,117.85423,"125 Sunlite Road, Shelbyville, TN 37160, United States of America",35.489265,-86.442307,,125,Sunlite Road,37160,,,Shelbyville,Bedford County,BD,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Farmers Market at Dixie Chile Ranch,June-October,,-89.054466,36.249874,1065,1065,,,.75907338,"3155 East Union Grove Road, Obion County, TN 38233, United States of America",36.249882,-89.054466,,3155,East Union Grove Road,38233,,,,Obion County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Farmers Market at River Park,May-September,,-87.463013,35.782978,1066,1066,,,1.8328565,"142 North Central Avenue, Centerville, TN 37033, United States of America",35.782993,-87.463005,,142,North Central Avenue,37033,,,Centerville,Hickman County,HN,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Farmers Market at the Fairgrounds,May-June,,-89.409676,35.899395,1067,1067,,,8.6119461,"794 Co Op Drive, Halls, TN 38040, United States of America",35.899315,-89.409676,,794,Co Op Drive,38040,,,Halls,Lauderdale County,LU,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Farmers Market of Lafayette,June-October,,-86.028625,36.521782,1068,1068,,,59.228027,"208 Church Street, Lafayette, TN 37083, United States of America",36.522083,-86.028084,,208,Church Street,37083,,,Lafayette,Macon County,MC,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Farmin in the Halls,May-September,,-86.749557,36.064041,1069,1069,,,10.820615,"Crievewood United Methodist Church, 451 Hogan Road, Nashville, TN 37220, United States of America",36.064034,-86.749672,Crievewood United Methodist Church,451,Hogan Road,37220,,Crieve Hall,Nashville,Davidson County,DA,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,30,4,8,4,2,,,4,,,,8
Fayette County Farmers Market,May-August,,-89.415802,35.233963,1070,1070,,,29.449009,"50 Teague Store Road, Somerville, TN 38068, United States of America",35.234226,-89.415794,,50,Teague Store Road,38068,,,Somerville,Fayette County,FA,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Fayetteville Farmers Market,April-October,,-86.572327,35.147972,1071,1071,,,.87822264,"414 Lincoln Avenue South, Fayetteville, TN 37334, United States of America",35.147964,-86.572319,,414,Lincoln Avenue South,37334,,,Fayetteville,Lincoln County,LI,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Fentress County Farmers Market,May-October,,-84.924583,36.428059,1072,1072,,,2.0087409,"452 Mark Twain Avenue East, Jamestown, TN 38556, United States of America",36.428051,-84.924561,,452,Mark Twain Avenue East,38556,,,Jamestown,Fentress County,FE,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Flourish Farmers Market,June-October,,-86.777298,36.149513,1073,1073,,,6.2915268,"645 Division Street, Nashville, TN 37203, United States of America",36.14957,-86.777306,,645,Division Street,37203,,Edgehill,Nashville,Davidson County,DA,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Forest Hills UMC Farmers Market,Closed,,-86.819603,36.042645,1074,1074,,,44.405209,"Forest Hills United Methodist Church, 1250 Old Hickory Boulevard, Brentwood, TN 37027, United States of America",36.042278,-86.819801,Forest Hills United Methodist Church,1250,Old Hickory Boulevard,37027,,,Brentwood,Davidson County,DA,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Franklin Farmers Market,May-October,,-86.858025,35.93185,1075,1075,,,47.61261,"230 Franklin Road, Franklin, TN 37064, United States of America",35.931892,-86.858551,,230,Franklin Road,37064,,,Franklin,Williamson County,WL,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,34,23,4,,,,,,7,,,
Fresh Mess Farmers Market,June-October,,-85.835388,35.240692,1076,1076,,,4.271626,"143 College Street, Monteagle, TN 37356, United States of America",35.24073,-85.835381,,143,College Street,37356,,,Monteagle,Marion County,MI,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
